course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,text_profile
Introduction to Marketing,University of Pennsylvania,COURSE,4.8,Mixed,220k,"Introduction to Marketing by University of Pennsylvania, Mixed level, COURSE"
Introduction to Mathematical Thinking,Stanford University,COURSE,4.8,Intermediate,270k,"Introduction to Mathematical Thinking by Stanford University, Intermediate level, COURSE"
Introduction to Operations Management,University of Pennsylvania,COURSE,4.5,Mixed,87k,"Introduction to Operations Management by University of Pennsylvania, Mixed level, COURSE"
Introduction to Personal Branding,University of Virginia,COURSE,4.4,Beginner,140k,"Introduction to Personal Branding by University of Virginia, Beginner level, COURSE"
Introduction to Philosophy,The University of Edinburgh,COURSE,4.6,Mixed,370k,"Introduction to Philosophy by The University of Edinburgh, Mixed level, COURSE"
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.8,Mixed,11k,"Introduction to Portfolio Construction and Analysis with Python by EDHEC Business School, Mixed level, COURSE"
Introduction to Probability and Data,Duke University,COURSE,4.7,Beginner,160k,"Introduction to Probability and Data by Duke University, Beginner level, COURSE"
Introduction to Programming in C,Duke University,SPECIALIZATION,4.7,Beginner,82k,"Introduction to Programming in C by Duke University, Beginner level, SPECIALIZATION"
Introduction to Programming with MATLAB,Vanderbilt University,COURSE,4.8,Beginner,270k,"Introduction to Programming with MATLAB by Vanderbilt University, Beginner level, COURSE"
Introduction to Psychology,Yale University,COURSE,4.9,Beginner,270k,"Introduction to Psychology by Yale University, Beginner level, COURSE"
Introduction to Scripting in Python,Rice University,SPECIALIZATION,4.7,Beginner,49k,"Introduction to Scripting in Python by Rice University, Beginner level, SPECIALIZATION"
Introduction to Self-Driving Cars,University of Toronto,COURSE,4.8,Advanced,39k,"Introduction to Self-Driving Cars by University of Toronto, Advanced level, COURSE"
Introduction to Spreadsheets and Models,University of Pennsylvania,COURSE,4.2,Mixed,76k,"Introduction to Spreadsheets and Models by University of Pennsylvania, Mixed level, COURSE"
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,COURSE,4.7,Beginner,12k,"Introduction to Statistics & Data Analysis in Public Health by Imperial College London, Beginner level, COURSE"
Introduction to Sustainability,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,69k,"Introduction to Sustainability by University of Illinois at Urbana-Champaign, Mixed level, COURSE"
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,COURSE,4.8,Mixed,67k,"Introduction to Systematic Review and Meta-Analysis by Johns Hopkins University, Mixed level, COURSE"
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed,33k,"Introduction to Systems Engineering by UNSW Sydney (The University of New South Wales), Mixed level, COURSE"
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,COURSE,4.7,Intermediate,150k,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning by deeplearning.ai, Intermediate level, COURSE"
Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,COURSE,4.8,Beginner,4.1k,"Introduction to Thermodynamics: Transferring Energy from Here to There by University of Michigan, Beginner level, COURSE"
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,4.0,Intermediate,13k,"Introduction to Trading, Machine Learning & GCP by New York Institute of Finance, Intermediate level, COURSE"
Introduction to Typography,California Institute of the Arts,COURSE,4.8,Beginner,72k,"Introduction to Typography by California Institute of the Arts, Beginner level, COURSE"
Introduction to User Experience Design,Georgia Institute of Technology,COURSE,4.5,Beginner,87k,"Introduction to User Experience Design by Georgia Institute of Technology, Beginner level, COURSE"
Introduction to User Experience Principles and Processes,University of Michigan,COURSE,4.8,Beginner,16k,"Introduction to User Experience Principles and Processes by University of Michigan, Beginner level, COURSE"
Introduction to Web Development,"University of California, Davis",COURSE,4.7,Beginner,76k,"Introduction to Web Development by University of California, Davis, Beginner level, COURSE"
Introduction to the Biology of Cancer,Johns Hopkins University,COURSE,4.8,Beginner,110k,"Introduction to the Biology of Cancer by Johns Hopkins University, Beginner level, COURSE"
Introductory Human Physiology,Duke University,COURSE,4.7,Mixed,270k,"Introductory Human Physiology by Duke University, Mixed level, COURSE"
Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,SPECIALIZATION,4.9,Beginner,4.5k,"Introdução aos Princípios e Práticas da Gestão De Projetos by Universidade de São Paulo, Beginner level, SPECIALIZATION"
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,COURSE,4.9,Beginner,120k,"Introdução à Ciência da Computação com Python Parte 1 by Universidade de São Paulo, Beginner level, COURSE"
Investment Management,University of Geneva,SPECIALIZATION,4.7,Beginner,99k,"Investment Management by University of Geneva, Beginner level, SPECIALIZATION"
Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,Beginner,14k,"Investment Management with Python and Machine Learning by EDHEC Business School, Beginner level, SPECIALIZATION"
Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,Beginner,49k,"Investment and Portfolio Management by Rice University, Beginner level, SPECIALIZATION"
Japanese for beginners 1,Saint Petersburg State University,COURSE,4.6,Beginner,4.4k,"Japanese for beginners 1 by Saint Petersburg State University, Beginner level, COURSE"
Java Programming and Software Engineering Fundamentals,Duke University,SPECIALIZATION,4.6,Beginner,380k,"Java Programming and Software Engineering Fundamentals by Duke University, Beginner level, SPECIALIZATION"
Java Programming: Solving Problems with Software,Duke University,COURSE,4.6,Beginner,160k,"Java Programming: Solving Problems with Software by Duke University, Beginner level, COURSE"
Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner,22k,"Julia Scientific Programming by University of Cape Town, Beginner level, COURSE"
Kotlin for Java Developers,JetBrains,COURSE,4.7,Intermediate,37k,"Kotlin for Java Developers by JetBrains, Intermediate level, COURSE"
L'excellence opérationnelle en pratique,ESSEC Business School,COURSE,4.7,Beginner,8k,"L'excellence opérationnelle en pratique by ESSEC Business School, Beginner level, COURSE"
"L'impact investing, la finance qui change le monde",ESSEC Business School,SPECIALIZATION,4.6,Beginner,6.3k,"L'impact investing, la finance qui change le monde by ESSEC Business School, Beginner level, SPECIALIZATION"
Leadership Development for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,17k,"Leadership Development for Engineers by Rice University, Beginner level, SPECIALIZATION"
Leadership in 21st Century Organizations,Copenhagen Business School,COURSE,4.7,Mixed,34k,"Leadership in 21st Century Organizations by Copenhagen Business School, Mixed level, COURSE"
Leading Healthcare Quality and Safety,The George Washington University,COURSE,4.8,Beginner,16k,"Leading Healthcare Quality and Safety by The George Washington University, Beginner level, COURSE"
Leading People and Teams,University of Michigan,SPECIALIZATION,4.7,Beginner,220k,"Leading People and Teams by University of Michigan, Beginner level, SPECIALIZATION"
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,COURSE,4.7,Intermediate,5.9k,"Leading for Equity, Diversity and Inclusion in Higher Education by University of Michigan, Intermediate level, COURSE"
Leading: Human Resource Management and Leadership,Macquarie University,SPECIALIZATION,4.8,Intermediate,16k,"Leading: Human Resource Management and Leadership by Macquarie University, Intermediate level, SPECIALIZATION"
Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,Beginner,43k,"Learn Chinese: HSK Test Preparation by Peking University, Beginner level, SPECIALIZATION"
Learn English,Tsinghua University,SPECIALIZATION,4.3,Beginner,22k,"Learn English by Tsinghua University, Beginner level, SPECIALIZATION"
Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",SPECIALIZATION,4.5,Intermediate,78k,"Learn English: Advanced Academic Speaking and Listening by University of California, Irvine, Intermediate level, SPECIALIZATION"
Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,52k,"Learn English: Advanced Grammar and Punctuation by University of California, Irvine, Advanced level, SPECIALIZATION"
Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.7,Intermediate,120k,"Learn English: Intermediate Grammar by University of California, Irvine, Intermediate level, SPECIALIZATION"
Learn Mandarin Chinese,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,39k,"Learn Mandarin Chinese by Shanghai Jiao Tong University, Beginner level, SPECIALIZATION"
Learn SQL Basics for Data Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,160k,"Learn SQL Basics for Data Science by University of California, Davis, Beginner level, SPECIALIZATION"
Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",SPECIALIZATION,4.6,Beginner,80k,"Learn Spanish: Basic Spanish Vocabulary by University of California, Davis, Beginner level, SPECIALIZATION"
Learn to Program: The Fundamentals,University of Toronto,COURSE,4.8,Beginner,180k,"Learn to Program: The Fundamentals by University of Toronto, Beginner level, COURSE"
Learn to Speak Korean 1,Yonsei University,COURSE,4.9,Beginner,120k,"Learn to Speak Korean 1 by Yonsei University, Beginner level, COURSE"
Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner,68k,"Learning to Teach Online by UNSW Sydney (The University of New South Wales), Beginner level, COURSE"
Legal Tech & Startups,IE Business School,COURSE,4.5,Intermediate,7.2k,"Legal Tech & Startups by IE Business School, Intermediate level, COURSE"
Les Fondamentaux de la Négociation,ESSEC Business School,COURSE,4.7,Beginner,10k,"Les Fondamentaux de la Négociation by ESSEC Business School, Beginner level, COURSE"
Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23k,"Liderazgo efectivo para el siglo XXI by Universidad de los Andes, Intermediate level, SPECIALIZATION"
Linear Circuits 1: DC Analysis,Georgia Institute of Technology,COURSE,4.6,Mixed,29k,"Linear Circuits 1: DC Analysis by Georgia Institute of Technology, Mixed level, COURSE"
Love as a Force for Social Justice,Stanford University,COURSE,4.7,Beginner,14k,"Love as a Force for Social Justice by Stanford University, Beginner level, COURSE"
Machine Learning,University of Washington,SPECIALIZATION,4.6,Intermediate,290k,"Machine Learning by University of Washington, Intermediate level, SPECIALIZATION"
Machine Learning,Stanford University,COURSE,4.9,Mixed,3.2m,"Machine Learning by Stanford University, Mixed level, COURSE"
Machine Learning Foundations: A Case Study Approach,University of Washington,COURSE,4.6,Mixed,240k,"Machine Learning Foundations: A Case Study Approach by University of Washington, Mixed level, COURSE"
Machine Learning and Reinforcement Learning in Finance,New York University,SPECIALIZATION,3.7,Intermediate,29k,"Machine Learning and Reinforcement Learning in Finance by New York University, Intermediate level, SPECIALIZATION"
Machine Learning for All,University of London,COURSE,4.6,Beginner,19k,"Machine Learning for All by University of London, Beginner level, COURSE"
Machine Learning for Business Professionals,Google Cloud,COURSE,4.6,Intermediate,58k,"Machine Learning for Business Professionals by Google Cloud, Intermediate level, COURSE"
Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.9,Intermediate,15k,"Machine Learning for Trading by Google Cloud, Intermediate level, SPECIALIZATION"
Machine Learning with Python,IBM,COURSE,4.7,Intermediate,120k,"Machine Learning with Python by IBM, Intermediate level, COURSE"
Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Intermediate,72k,"Machine Learning with TensorFlow on Google Cloud Platform by Google Cloud, Intermediate level, SPECIALIZATION"
Magic in the Middle Ages,Universitat de Barcelona,COURSE,4.6,Beginner,78k,"Magic in the Middle Ages by Universitat de Barcelona, Beginner level, COURSE"
Making Architecture,IE School of Architecture & Design,COURSE,4.7,Beginner,43k,"Making Architecture by IE School of Architecture & Design, Beginner level, COURSE"
Management of Fashion and Luxury Companies,Università Bocconi,COURSE,4.7,Mixed,120k,"Management of Fashion and Luxury Companies by Università Bocconi, Mixed level, COURSE"
Managerial Accounting Fundamentals,University of Virginia,COURSE,4.9,Beginner,11k,"Managerial Accounting Fundamentals by University of Virginia, Beginner level, COURSE"
Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,55k,"Managerial Economics and Business Analysis by University of Illinois at Urbana-Champaign, Beginner level, SPECIALIZATION"
Managing Innovation and Design Thinking,HEC Paris,SPECIALIZATION,4.7,Beginner,23k,"Managing Innovation and Design Thinking by HEC Paris, Beginner level, SPECIALIZATION"
Managing Project Risks and Changes,"University of California, Irvine",COURSE,4.7,Mixed,71k,"Managing Project Risks and Changes by University of California, Irvine, Mixed level, COURSE"
Managing Social and Human Capital,University of Pennsylvania,COURSE,4.5,Beginner,27k,"Managing Social and Human Capital by University of Pennsylvania, Beginner level, COURSE"
Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,COURSE,4.6,Beginner,47k,"Managing Your Health: The Role of Physical Therapy and Exercise by University of Toronto, Beginner level, COURSE"
Market Research,"University of California, Davis",SPECIALIZATION,4.5,Beginner,22k,"Market Research by University of California, Davis, Beginner level, SPECIALIZATION"
Marketing Digital,Universidade de São Paulo,COURSE,4.8,Beginner,81k,"Marketing Digital by Universidade de São Paulo, Beginner level, COURSE"
Marketing Digital,Universidad Austral,SPECIALIZATION,4.7,Beginner,39k,"Marketing Digital by Universidad Austral, Beginner level, SPECIALIZATION"
Marketing Gerencial,Universidad de Chile,COURSE,4.7,Intermediate,49k,"Marketing Gerencial by Universidad de Chile, Intermediate level, COURSE"
Marketing Mix Implementation,IE Business School,SPECIALIZATION,4.6,Beginner,93k,"Marketing Mix Implementation by IE Business School, Beginner level, SPECIALIZATION"
Marketing Strategy,IE Business School,SPECIALIZATION,4.4,Beginner,57k,"Marketing Strategy by IE Business School, Beginner level, SPECIALIZATION"
Marketing Verde,Universidad de los Andes,COURSE,4.8,Mixed,58k,"Marketing Verde by Universidad de los Andes, Mixed level, COURSE"
Marketing con Redes Sociales,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate,60k,"Marketing con Redes Sociales by Tecnológico de Monterrey, Intermediate level, SPECIALIZATION"
Marketing in a Digital World,University of Illinois at Urbana-Champaign,COURSE,4.7,Beginner,310k,"Marketing in a Digital World by University of Illinois at Urbana-Champaign, Beginner level, COURSE"
Mastering Data Analysis in Excel,Duke University,COURSE,4.2,Mixed,280k,"Mastering Data Analysis in Excel by Duke University, Mixed level, COURSE"
Mastering Final Cut Pro,LearnQuest,COURSE,4.6,Beginner,8.4k,"Mastering Final Cut Pro by LearnQuest, Beginner level, COURSE"
Mastering Software Development in R,Johns Hopkins University,SPECIALIZATION,4.3,Beginner,52k,"Mastering Software Development in R by Johns Hopkins University, Beginner level, SPECIALIZATION"
Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",COURSE,4.7,Mixed,48k,"Materials Science: 10 Things Every Engineer Should Know by University of California, Davis, Mixed level, COURSE"
Mathematics for Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,12k,"Mathematics for Data Science by National Research University Higher School of Economics, Beginner level, SPECIALIZATION"
Mathematics for Machine Learning,Imperial College London,SPECIALIZATION,4.6,Beginner,150k,"Mathematics for Machine Learning by Imperial College London, Beginner level, SPECIALIZATION"
Mathematics for Machine Learning: Linear Algebra,Imperial College London,COURSE,4.7,Beginner,140k,"Mathematics for Machine Learning: Linear Algebra by Imperial College London, Beginner level, COURSE"
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,COURSE,4.7,Beginner,51k,"Mathematics for Machine Learning: Multivariate Calculus by Imperial College London, Beginner level, COURSE"
Mathematics for Machine Learning: PCA,Imperial College London,COURSE,4.0,Intermediate,33k,"Mathematics for Machine Learning: PCA by Imperial College London, Intermediate level, COURSE"
Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,4.8k,"Medical Cannabis: The Health Effects of THC and CBD by University of Colorado Boulder, Beginner level, SPECIALIZATION"
Medical Neuroscience,Duke University,COURSE,4.9,Advanced,170k,"Medical Neuroscience by Duke University, Advanced level, COURSE"
Memoir and Personal Essay: Write About Yourself,Wesleyan University,SPECIALIZATION,4.3,Beginner,13k,"Memoir and Personal Essay: Write About Yourself by Wesleyan University, Beginner level, SPECIALIZATION"
Methods and Statistics in Social Sciences,University of Amsterdam,SPECIALIZATION,4.6,Beginner,260k,"Methods and Statistics in Social Sciences by University of Amsterdam, Beginner level, SPECIALIZATION"
Microeconomics Principles,University of Illinois at Urbana-Champaign,COURSE,4.9,Beginner,73k,"Microeconomics Principles by University of Illinois at Urbana-Champaign, Beginner level, COURSE"
Microeconomics: The Power of Markets,University of Pennsylvania,COURSE,4.7,Mixed,34k,"Microeconomics: The Power of Markets by University of Pennsylvania, Mixed level, COURSE"
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,COURSE,4.8,Beginner,230k,"Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential by McMaster University, Beginner level, COURSE"
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,COURSE,4.7,Beginner,120k,"Miracles of Human Language: An Introduction to Linguistics by Universiteit Leiden, Beginner level, COURSE"
Model Thinking,University of Michigan,COURSE,4.8,Mixed,130k,"Model Thinking by University of Michigan, Mixed level, COURSE"
Modeling Risk and Realities,University of Pennsylvania,COURSE,4.6,Mixed,36k,"Modeling Risk and Realities by University of Pennsylvania, Mixed level, COURSE"
Modern Art & Ideas,The Museum of Modern Art,COURSE,4.7,Beginner,310k,"Modern Art & Ideas by The Museum of Modern Art, Beginner level, COURSE"
Modern Big Data Analysis with SQL,Cloudera,SPECIALIZATION,4.8,Beginner,14k,"Modern Big Data Analysis with SQL by Cloudera, Beginner level, SPECIALIZATION"
"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,SPECIALIZATION,4.7,Intermediate,21k,"Modern Robotics:  Mechanics, Planning, and Control by Northwestern University, Intermediate level, SPECIALIZATION"
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,COURSE,4.7,Intermediate,9.1k,"Modernizing Data Lakes and Data Warehouses with GCP by Google Cloud, Intermediate level, COURSE"
Moral Foundations of Politics,Yale University,COURSE,4.8,Mixed,100k,"Moral Foundations of Politics by Yale University, Mixed level, COURSE"
More Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.9,Mixed,40k,"More Introduction to Financial Accounting by University of Pennsylvania, Mixed level, COURSE"
Mountains 101,University of Alberta,COURSE,4.9,Mixed,44k,"Mountains 101 by University of Alberta, Mixed level, COURSE"
Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,59k,"Municipal Solid Waste Management in Developing Countries by École Polytechnique Fédérale de Lausanne, Intermediate level, COURSE"
Music Business,Berklee College of Music,SPECIALIZATION,4.8,Beginner,42k,"Music Business by Berklee College of Music, Beginner level, SPECIALIZATION"
Music Business Foundations,Berklee College of Music,COURSE,4.9,Mixed,34k,"Music Business Foundations by Berklee College of Music, Mixed level, COURSE"
Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,70k,"Music Production by Berklee College of Music, Beginner level, SPECIALIZATION"
Nanotechnology: A Maker’s Course,Duke University,COURSE,4.8,Mixed,21k,"Nanotechnology: A Maker’s Course by Duke University, Mixed level, COURSE"
Natural Language Processing in TensorFlow,deeplearning.ai,COURSE,4.6,Intermediate,40k,"Natural Language Processing in TensorFlow by deeplearning.ai, Intermediate level, COURSE"
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,COURSE,4.8,Mixed,95k,"Negociación exitosa: Estrategias y habilidades esenciales (en español) by University of Michigan, Mixed level, COURSE"
"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,SPECIALIZATION,4.7,Beginner,22k,"Negotiation, Mediation and Conflict Resolution by ESSEC Business School, Beginner level, SPECIALIZATION"
Networking and Security Architecture with VMware NSX,VMware,COURSE,4.8,Intermediate,17k,"Networking and Security Architecture with VMware NSX by VMware, Intermediate level, COURSE"
Networking in Google Cloud,Google Cloud,SPECIALIZATION,4.7,Intermediate,290k,"Networking in Google Cloud by Google Cloud, Intermediate level, SPECIALIZATION"
Neural Networks and Deep Learning,deeplearning.ai,COURSE,4.9,Intermediate,630k,"Neural Networks and Deep Learning by deeplearning.ai, Intermediate level, COURSE"
Neurolinguistics,Saint Petersburg State University,COURSE,4.7,Mixed,41k,"Neurolinguistics by Saint Petersburg State University, Mixed level, COURSE"
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",COURSE,4.7,Beginner,12k,"New Approaches to Countering Terror: Countering Violent Extremism by University of Maryland, College Park, Beginner level, COURSE"
Newborn Baby Care,University of Colorado System,SPECIALIZATION,4.8,Beginner,5.3k,"Newborn Baby Care by University of Colorado System, Beginner level, SPECIALIZATION"
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,100k,"Nutrición y obesidad: control de sobrepeso by Universidad Nacional Autónoma de México, Beginner level, COURSE"
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,Intermediate,35k,"Nutrition and Lifestyle in Pregnancy by Ludwig-Maximilians-Universität München (LMU), Intermediate level, COURSE"
Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,SPECIALIZATION,4.7,Intermediate,250k,"Object Oriented Java Programming: Data Structures and Beyond by University of California San Diego, Intermediate level, SPECIALIZATION"
Object Oriented Programming in Java,Duke University,SPECIALIZATION,4.6,Beginner,330k,"Object Oriented Programming in Java by Duke University, Beginner level, SPECIALIZATION"
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,21k,"Object-Oriented Data Structures in C++ by University of Illinois at Urbana-Champaign, Intermediate level, COURSE"
Object-Oriented Design,University of Alberta,COURSE,4.7,Intermediate,33k,"Object-Oriented Design by University of Alberta, Intermediate level, COURSE"
Oil & Gas Industry Operations and Markets,Duke University,COURSE,4.8,Mixed,57k,"Oil & Gas Industry Operations and Markets by Duke University, Mixed level, COURSE"
"Open Source Software Development, Linux and Git",The Linux Foundation,SPECIALIZATION,4.4,Beginner,13k,"Open Source Software Development, Linux and Git by The Linux Foundation, Beginner level, SPECIALIZATION"
Operating Systems and You: Becoming a Power User,Google,COURSE,4.6,Beginner,76k,"Operating Systems and You: Becoming a Power User by Google, Beginner level, COURSE"
Operations Analytics,University of Pennsylvania,COURSE,4.7,Mixed,80k,"Operations Analytics by University of Pennsylvania, Mixed level, COURSE"
Optical Engineering,University of Colorado Boulder,SPECIALIZATION,4.2,Advanced,6.2k,"Optical Engineering by University of Colorado Boulder, Advanced level, SPECIALIZATION"
Organizational Leadership,Northwestern University,SPECIALIZATION,4.7,Intermediate,92k,"Organizational Leadership by Northwestern University, Intermediate level, SPECIALIZATION"
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,COURSE,4.7,Beginner,22k,"Osteoarchaeology: The Truth in Our Bones by Universiteit Leiden, Beginner level, COURSE"
Palliative Care: It's Not Just Hospice Anymore,University of Colorado System,SPECIALIZATION,4.8,Beginner,3.2k,"Palliative Care: It's Not Just Hospice Anymore by University of Colorado System, Beginner level, SPECIALIZATION"
Palo Alto Networks Cybersecurity,Palo Alto Networks,SPECIALIZATION,4.6,Beginner,9.1k,"Palo Alto Networks Cybersecurity by Palo Alto Networks, Beginner level, SPECIALIZATION"
"Parallel, Concurrent, and Distributed Programming in Java",Rice University,SPECIALIZATION,4.5,Intermediate,30k,"Parallel, Concurrent, and Distributed Programming in Java by Rice University, Intermediate level, SPECIALIZATION"
Particle Physics: an Introduction,University of Geneva,COURSE,4.5,Mixed,42k,"Particle Physics: an Introduction by University of Geneva, Mixed level, COURSE"
Patient Safety,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,8.8k,"Patient Safety by Johns Hopkins University, Beginner level, SPECIALIZATION"
Patrocinio Deportivo,Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,12k,"Patrocinio Deportivo by Universitat Autònoma de Barcelona, Beginner level, COURSE"
People Analytics,University of Pennsylvania,COURSE,4.5,Mixed,84k,"People Analytics by University of Pennsylvania, Mixed level, COURSE"
Perfect Tenses and Modals,"University of California, Irvine",COURSE,4.7,Intermediate,79k,"Perfect Tenses and Modals by University of California, Irvine, Intermediate level, COURSE"
Periodismo digital y combate a las fake news,Universidad Nacional Autónoma de México,COURSE,4.9,Beginner,8.9k,"Periodismo digital y combate a las fake news by Universidad Nacional Autónoma de México, Beginner level, COURSE"
Photography Basics and Beyond: From Smartphone to DSLR,Michigan State University,SPECIALIZATION,4.7,Beginner,160k,"Photography Basics and Beyond: From Smartphone to DSLR by Michigan State University, Beginner level, SPECIALIZATION"
Plant Bioinformatic Methods,University of Toronto,SPECIALIZATION,4.7,Beginner,83k,"Plant Bioinformatic Methods by University of Toronto, Beginner level, SPECIALIZATION"
Politics and Economics of International Energy,Sciences Po,COURSE,4.7,Beginner,34k,"Politics and Economics of International Energy by Sciences Po, Beginner level, COURSE"
Positive Psychiatry and Mental Health,The University of Sydney,COURSE,4.8,Mixed,72k,"Positive Psychiatry and Mental Health by The University of Sydney, Mixed level, COURSE"
Positive Psychology,The University of North Carolina at Chapel Hill,COURSE,4.7,Mixed,180k,"Positive Psychology by The University of North Carolina at Chapel Hill, Mixed level, COURSE"
Positive Psychology: Applications and Interventions,University of Pennsylvania,COURSE,4.8,Beginner,23k,"Positive Psychology: Applications and Interventions by University of Pennsylvania, Beginner level, COURSE"
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,COURSE,4.8,Beginner,50k,"Positive Psychology: Martin E. P. Seligman’s Visionary Science by University of Pennsylvania, Beginner level, COURSE"
Positive Psychology: Resilience Skills,University of Pennsylvania,COURSE,4.6,Beginner,40k,"Positive Psychology: Resilience Skills by University of Pennsylvania, Beginner level, COURSE"
Power Electronics,University of Colorado Boulder,SPECIALIZATION,4.8,Intermediate,67k,"Power Electronics by University of Colorado Boulder, Intermediate level, SPECIALIZATION"
Practical Data Science with MATLAB,MathWorks,SPECIALIZATION,4.7,Beginner,10k,"Practical Data Science with MATLAB by MathWorks, Beginner level, SPECIALIZATION"
Practical Time Series Analysis,The State University of New York,COURSE,4.6,Intermediate,39k,"Practical Time Series Analysis by The State University of New York, Intermediate level, COURSE"
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,COURSE,4.7,Beginner,22k,"Preparing for the Google Cloud Associate Cloud Engineer Exam by Google Cloud, Beginner level, COURSE"
Preparing to Manage Human Resources,University of Minnesota,COURSE,4.8,Mixed,68k,"Preparing to Manage Human Resources by University of Minnesota, Mixed level, COURSE"
"Presentation Skills: Speechwriting, Slides and Delivery",E-Learning Development Fund,SPECIALIZATION,4.6,Beginner,47k,"Presentation Skills: Speechwriting, Slides and Delivery by E-Learning Development Fund, Beginner level, SPECIALIZATION"
Pricing Strategy Optimization,BCG,SPECIALIZATION,4.8,Beginner,20k,"Pricing Strategy Optimization by BCG, Beginner level, SPECIALIZATION"
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,COURSE,4.8,Mixed,280k,"Primeros Auxilios Psicológicos (PAP) by Universitat Autònoma de Barcelona, Mixed level, COURSE"
Private Equity and Venture Capital,Università Bocconi,COURSE,4.8,Mixed,79k,"Private Equity and Venture Capital by Università Bocconi, Mixed level, COURSE"
Probabilistic Graphical Models 1: Representation,Stanford University,COURSE,4.7,Advanced,68k,"Probabilistic Graphical Models 1: Representation by Stanford University, Advanced level, COURSE"
Probability and Statistics: To p or not to p?,University of London,COURSE,4.6,Beginner,36k,"Probability and Statistics: To p or not to p? by University of London, Beginner level, COURSE"
Process Mining: Data science in Action,Eindhoven University of Technology,COURSE,4.8,Intermediate,39k,"Process Mining: Data science in Action by Eindhoven University of Technology, Intermediate level, COURSE"
"Programming Foundations with JavaScript, HTML and CSS",Duke University,COURSE,4.6,Beginner,250k,"Programming Foundations with JavaScript, HTML and CSS by Duke University, Beginner level, COURSE"
